,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
44,Kodai Senga (27560531),Sean Manaea (27560532),Austin Nola (27560668),Christian Walker (27560614),Ketel Marte (27560573),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Corbin Carroll (27560580),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),49200.0,204.4,56731.599999995015,21077.0,4,0,0,0,0,0,0,0,4,0,90.6943539999999,87.345,114.78400000000002,145.09,1.691635431987238,2.6925467085023995
45,Kodai Senga (27560531),Sean Manaea (27560532),Tyler Stephenson (27560568),Jason Vosler (27560629),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Yonathan Daza (27560621),Wil Myers (27560610),49700.0,180.1,3888.4999999999936,1445.0,0,0,3,1,0,0,0,0,4,0,105.23485399999998,102.07499999999999,131.192,162.6805,1.691003460207608,2.7043646886540293
46,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Carlos Santana (27560604),Eduardo Escobar (27560626),Rodolfo Castro (27560615),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Connor Joe (27560595),Jeff McNeil (27560600),49700.0,155.8,5512.600000000057,2050.0,0,0,1,0,0,2,0,5,0,0,107.42538300000015,103.055,135.042,171.2405,1.689073170731735,2.6984424268805234
47,Luke Weaver (27560539),Sean Manaea (27560532),Austin Barnes (27560670),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),Kyle Schwarber (27560542),Josh Harrison (27560647),Luke Williams (27560691),49200.0,163.1,5187.8000000000575,1931.0,0,0,0,0,4,0,4,0,0,0,98.8405310000002,95.775,124.03,154.50299999999996,1.6865872604868242,2.696430334078235
48,Matt Strahm (27560537),Michael Wacha (27560533),Yan Gomes (27560620),Pete Alonso (27560545),Thairo Estrada (27560551),David Villar (27560590),Francisco Lindor (27560562),Brandon Nimmo (27560577),Mike Yastrzemski (27560586),Jeff McNeil (27560600),49800.0,113.0,3570.7999999999956,1330.0,0,1,0,0,0,4,0,0,0,3,103.82417599999975,100.545,131.392,165.01149999999996,1.6848120300751848,2.699102988800806
49,Kodai Senga (27560531),Matt Strahm (27560537),Austin Barnes (27560670),Wil Myers (27560610),Jonathan India (27560549),Max Muncy (27560561),Francisco Lindor (27560562),J.D. Martinez (27560567),James Outman (27560581),Trayce Thompson (27560625),49700.0,182.3,5804.300000000074,2162.0,0,0,2,0,5,1,0,0,0,0,96.33328299999995,93.48,119.47400000000002,147.78149999999997,1.684690101757666,2.693712754442679
50,Ryan Feltner (27560540),Sean Manaea (27560532),Austin Barnes (27560670),Freddie Freeman (27560548),Ketel Marte (27560573),Josh Rojas (27560572),Francisco Lindor (27560562),Corbin Carroll (27560580),J.D. Martinez (27560567),James Outman (27560581),49600.0,163.5,5189.600000000033,1934.0,3,0,0,0,4,1,0,0,0,0,83.94805499999946,81.435,105.40400000000002,132.16049999999998,1.683350568769407,2.693281786507276
51,Matt Strahm (27560537),Michael Wacha (27560533),Tyler Stephenson (27560568),Pete Alonso (27560545),Ha-Seong Kim (27560636),Spencer Steer (27560617),Francisco Lindor (27560562),Brandon Nimmo (27560577),Jake Fraley (27560563),Jeff McNeil (27560600),49400.0,116.5,3304.3999999999933,1233.0,0,0,3,0,0,4,0,0,1,0,95.34767599999984,92.58500000000001,119.00200000000001,148.46299999999997,1.67996755879967,2.695707197976539
52,Matt Strahm (27560537),Michael Wacha (27560533),J.T. Realmuto (27560544),Jason Vosler (27560629),Jonathan India (27560549),Spencer Steer (27560617),Francisco Lindor (27560562),Jake Fraley (27560563),Tommy Pham (27560606),Jeff McNeil (27560600),49700.0,116.3,4255.699999999994,1591.0,0,0,4,0,0,3,1,0,0,0,94.11987599999979,91.515,117.18600000000002,145.72149999999996,1.6748585795097388,2.6868679918950797
53,Luke Weaver (27560539),Sean Manaea (27560532),Yan Gomes (27560620),Christian Walker (27560614),Ketel Marte (27560573),Josh Rojas (27560572),Geraldo Perdomo (27560593),Corbin Carroll (27560580),Ian Happ (27560555),Kyle Schwarber (27560542),49500.0,133.3,4373.099999999997,1635.0,5,2,0,0,0,0,1,0,0,0,92.19313100000018,89.33,115.37,144.98049999999998,1.6746788990825667,2.6867320948654876
54,Ryne Nelson (27560535),Sean Manaea (27560532),Tyler Stephenson (27560568),Freddie Freeman (27560548),Miguel Vargas (27560640),Spencer Steer (27560617),Geraldo Perdomo (27560593),J.D. Martinez (27560567),James Outman (27560581),Wil Myers (27560610),49300.0,127.0,3864.1999999999935,1445.0,1,0,3,0,4,0,0,0,0,0,95.84516399999994,92.715,119.98200000000001,150.6505,1.674186851211068,2.687755692114237
